,duplicate,productLineUrlName,productUrlName,productTypeId,rarityName,sealed,lowestPriceWithShipping,productName,setId,productId,score,setName,foilOnly,setUrlName,sellerListable,totalListings,productLineId,productStatusId,productLineName,maxFulfillableQuantity,listings,lowestPrice,customAttributes.formats,customAttributes.description,customAttributes.powerNumber,customAttributes.detailNote,customAttributes.color,customAttributes.fullType,customAttributes.releaseDate,customAttributes.number,customAttributes.cardType,customAttributes.convertedCost,customAttributes.rarityDbName,customAttributes.power,customAttributes.flavorText,customAttributes.toughnessNumber,customAttributes.toughness,marketPrice
0,False,Magic,Abbot of Keral Keep,0.0,Rare,False,0.23,Abbot of Keral Keep,3070.0,277208.0,0.0,Double Masters 2022,False,Double Masters 2022,False,6.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 216031226.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 277208.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.23000000417232513, 'directSeller': True, 'productConditionId': 5711999.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 32.0, 'sellerKey': '2d358323', 'price': 0.23, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216073704.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 277208.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.23999999463558197, 'directSeller': True, 'productConditionId': 5711999.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 8.0, 'sellerKey': '3e76e8e2', 'price': 0.24, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216191061.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 277208.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'DesuNationX', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 1.0, 'directSeller': False, 'productConditionId': 5711999.0, 'sellerId': '44657', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '10000+', 'quantity': 6.0, 'sellerKey': 'b4924b5d', 'price': 1.0, 'customData': {'images': []}}]",0.23,"['commander', 'frontier', 'legacy', 'modern', 'pioneer', 'vintage']","Prowess <em>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</em>
<br>When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",2,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Red'],Creature — Human Monk,2022-07-08T00:00:00Z,100,['Creature'],2,R,2,,1,1,
1,False,Magic,Abbot of Keral Keep Foil Etched,0.0,Rare,False,14.99,Abbot of Keral Keep (Foil Etched),3070.0,277244.0,0.0,Double Masters 2022,True,Double Masters 2022,False,2.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 216031230.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 277244.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 14.989999771118164, 'directSeller': True, 'productConditionId': 5713749.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 1.0, 'sellerKey': '2d358323', 'price': 14.99, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216332812.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 277244.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 15.0, 'directSeller': True, 'productConditionId': 5713749.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 6.0, 'sellerKey': '3e76e8e2', 'price': 15.0, 'customData': {'images': []}}]",14.99,[],"Prowess <em>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</em>
<br>When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",2,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Red'],Creature — Human Monk,2022-07-08T00:00:00Z,446,['Creature'],2,R,2,,1,1,
2,False,Magic,Abzan Ascendancy,0.0,Rare,False,0.86,Abzan Ascendancy,3070.0,276511.0,0.0,Double Masters 2022,False,Double Masters 2022,False,6.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215125667.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276511.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.8600000143051147, 'directSeller': True, 'productConditionId': 5697763.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 32.0, 'sellerKey': '2d358323', 'price': 0.86, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215157004.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276511.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.8700000047683716, 'directSeller': True, 'productConditionId': 5697763.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 8.0, 'sellerKey': '3e76e8e2', 'price': 0.87, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215228404.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276511.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'DesuNationX', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.9900000095367432, 'directSeller': False, 'productConditionId': 5697763.0, 'sellerId': '44657', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '10000+', 'quantity': 6.0, 'sellerKey': 'b4924b5d', 'price': 0.99, 'customData': {'images': []}}]",0.86,"['commander', 'frontier', 'legacy', 'modern', 'pioneer', 'vintage']","When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br>Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying onto the battlefield.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.","['Black', 'Green', 'White']",Enchantment ,2022-07-08T00:00:00Z,165,['Enchantment'],3,R,,,,,
3,False,Magic,Abzan Ascendancy Foil Etched,0.0,Rare,False,14.99,Abzan Ascendancy (Foil Etched),3070.0,277260.0,0.0,Double Masters 2022,True,Double Masters 2022,False,2.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 216031222.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 277260.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 14.989999771118164, 'directSeller': True, 'productConditionId': 5714299.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 1.0, 'sellerKey': '2d358323', 'price': 14.99, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216332730.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 277260.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 15.0, 'directSeller': True, 'productConditionId': 5714299.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 3.0, 'sellerKey': '3e76e8e2', 'price': 15.0, 'customData': {'images': []}}]",14.99,[],"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br>Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying onto the battlefield.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.","['Black', 'Green', 'White']",Enchantment ,2022-07-08T00:00:00Z,467,['Enchantment'],3,R,,,,,
4,False,Magic,Abzan Charm,0.0,Uncommon,False,0.23,Abzan Charm,3070.0,276530.0,0.0,Double Masters 2022,False,Double Masters 2022,False,4.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215126015.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276530.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.23000000417232513, 'directSeller': True, 'productConditionId': 5698548.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 20.0, 'sellerKey': '2d358323', 'price': 0.23, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216501814.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276530.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'LastSavePoint', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.8799999952316284, 'directSeller': True, 'productConditionId': 5698548.0, 'sellerId': '6224', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 4.0, 'sellerKey': 'fc3df419', 'price': 0.88, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215126023.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276530.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 1.9900000095367432, 'directSeller': True, 'productConditionId': 5698553.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 10.0, 'sellerKey': '2d358323', 'price': 1.99, 'customData': {'images': []}}]",0.23,"['commander', 'freeform', 'frontier', 'legacy', 'modern', 'peasant', 'pioneer', 'vintage']","Choose one —
<br>• Exile target creature with power 3 or greater.
<br>• You draw two cards and you lose 2 life.
<br>• Distribute two +1/+1 counters among one or two target creatures.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.","['Black', 'Green', 'White']",Instant,2022-07-08T00:00:00Z,166,['Instant'],3,U,,,,,
5,False,Magic,Abzan Falconer,0.0,Uncommon,False,0.23,Abzan Falconer,3070.0,276538.0,0.0,Double Masters 2022,False,Double Masters 2022,False,4.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215126016.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276538.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.23000000417232513, 'directSeller': True, 'productConditionId': 5698898.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 19.0, 'sellerKey': '2d358323', 'price': 0.23, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216501815.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276538.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'LastSavePoint', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.8799999952316284, 'directSeller': True, 'productConditionId': 5698898.0, 'sellerId': '6224', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 4.0, 'sellerKey': 'fc3df419', 'price': 0.88, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215126021.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276538.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 1.9900000095367432, 'directSeller': True, 'productConditionId': 5698903.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 10.0, 'sellerKey': '2d358323', 'price': 1.99, 'customData': {'images': []}}]",0.23,"['commander', 'freeform', 'frontier', 'legacy', 'modern', 'peasant', 'pioneer', 'vintage']","Outlast W <em>(W, T: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</em>
<br>Each creature you control with a +1/+1 counter on it has flying.",2,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['White'],Creature — Human Soldier,2022-07-08T00:00:00Z,4,['Creature'],3,U,2,<em>The fastest way across the dunes is above.</em>,3,3,0.25
6,False,Magic,Advanced Stitchwing,0.0,Common,False,0.19,Advanced Stitchwing,3070.0,276265.0,0.0,Double Masters 2022,False,Double Masters 2022,False,3.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 214296536.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276265.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.1899999976158142, 'directSeller': True, 'productConditionId': 5688948.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 20.0, 'sellerKey': '2d358323', 'price': 0.19, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 214276202.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276265.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.1899999976158142, 'directSeller': True, 'productConditionId': 5688943.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 19.0, 'sellerKey': '2d358323', 'price': 0.19, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216501805.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.99, 'productId': 276265.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'LastSavePoint', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.99, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 0.49000000953674316, 'directSeller': True, 'productConditionId': 5688943.0, 'sellerId': '6224', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 6.0, 'sellerKey': 'fc3df419', 'price': 0.49, 'customData': {'images': []}}]",0.19,"['commander', 'frontier', 'legacy', 'modern', 'peasant', 'pioneer', 'vintage']","Flying
<br>2U, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.",3,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Blue'],Creature — Zombie Horror,2022-07-08T00:00:00Z,36,['Creature'],5,C,3,"<em>""Improvement is a consequence of practice."" <br>—Stitcher Geralf</em>",4,4,0.2
7,False,Magic,Aether Vial,0.0,Rare,False,17.9,Aether Vial,3070.0,276762.0,0.0,Double Masters 2022,False,Double Masters 2022,False,5.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215556664.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276762.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'DesuNationX', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 17.899999618530273, 'directSeller': False, 'productConditionId': 5702947.0, 'sellerId': '44657', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '10000+', 'quantity': 4.0, 'sellerKey': 'b4924b5d', 'price': 17.9, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215477314.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276762.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 17.899999618530273, 'directSeller': True, 'productConditionId': 5702947.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 4.0, 'sellerKey': '3e76e8e2', 'price': 17.9, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216501526.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276762.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'LastSavePoint', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 26.850000381469727, 'directSeller': True, 'productConditionId': 5702947.0, 'sellerId': '6224', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 4.0, 'sellerKey': 'fc3df419', 'price': 26.85, 'customData': {'images': []}}]",17.9,"['commander', 'legacy', 'modern', 'peasant', 'vintage']","At the beginning of your upkeep, you may put a charge counter on Aether Vial. 
<br>T: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Colorless'],Artifact,2022-07-08T00:00:00Z,298,['Artifact'],1,R,,,,,17.92
8,False,Magic,Aether Vial Borderless,0.0,Rare,False,50.0,Aether Vial (Borderless),3070.0,276786.0,0.0,Double Masters 2022,False,Double Masters 2022,False,5.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215444302.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276786.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 50.0, 'directSeller': True, 'productConditionId': 5703142.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 8.0, 'sellerKey': '2d358323', 'price': 50.0, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 215477307.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276786.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 74.0, 'directSeller': True, 'productConditionId': 5703142.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 9.0, 'sellerKey': '3e76e8e2', 'price': 74.0, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216501698.0, 'channelId': 0.0, 'conditionId': 1.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276786.0, 'printing': 'Normal', 'languageAbbreviation': 'EN', 'sellerName': 'LastSavePoint', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 74.94999694824219, 'directSeller': True, 'productConditionId': 5703142.0, 'sellerId': '6224', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 4.0, 'sellerKey': 'fc3df419', 'price': 74.95, 'customData': {'images': []}}]",50.0,[],"At the beginning of your upkeep, you may put a charge counter on Aether Vial. 
<br>T: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Colorless'],Artifact,2022-07-08T00:00:00Z,391,['Artifact'],1,R,,,,,49.99
9,False,Magic,Aether Vial Foil Etched,0.0,Rare,False,199.99,Aether Vial (Foil Etched),3070.0,276785.0,0.0,Double Masters 2022,True,Double Masters 2022,False,2.0,1.0,20.0,Magic: The Gathering,255.0,"[{'directProduct': True, 'goldSeller': True, 'listingId': 215444298.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276785.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'A Plus Cards', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 199.99000549316406, 'directSeller': True, 'productConditionId': 5703117.0, 'sellerId': '839', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 1.0, 'sellerKey': '2d358323', 'price': 199.99, 'customData': {'images': []}}, {'directProduct': True, 'goldSeller': True, 'listingId': 216332780.0, 'channelId': 0.0, 'conditionId': 3.0, 'verifiedSeller': True, 'directInventory': 0.0, 'rankedShippingPrice': 0.0, 'productId': 276785.0, 'printing': 'Foil', 'languageAbbreviation': 'EN', 'sellerName': 'Good Games USA', 'sellerShippingPrice': 0.0, 'language': 'English', 'shippingPrice': 0.0, 'condition': 'Near Mint', 'languageId': 1.0, 'score': 200.0, 'directSeller': True, 'productConditionId': 5703117.0, 'sellerId': '42205', 'listingType': 'standard', 'sellerRating': 100.0, 'sellerSales': '50000+', 'quantity': 3.0, 'sellerKey': '3e76e8e2', 'price': 200.0, 'customData': {'images': []}}]",199.99,[],"At the beginning of your upkeep, you may put a charge counter on Aether Vial. 
<br>T: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",,"This product is a Presale item with an estimated shipping date of 7/8/2022. Please keep in mind card details, including rarity and card name, may change up until release date as information is updated.",['Colorless'],Artifact,2022-07-08T00:00:00Z,555,['Artifact'],1,R,,,,,
